,,,Energy,Battles,EXP,EXP/Energy
St. Lamia,Thunder,Float Like A Butterfly,8,9,1780,222.5
St. Lamia,Thunder,The Riotous Thunderbird,8,9,2010,251.25
St. Lamia,Thunder,The Raged Beast of Destruction,10,11,2350,235
St. Lamia,Light,Forbidden Sacred Grounds,9,8,1250,138.8888889
St. Lamia,Light,The Flourishing Garden,9,8,1430,158.8888889
St. Lamia,Light,Knight of the Light,9,9,1820,202.2222222
St. Lamia,Light,The Gooddess of War,9,9,2050,227.7777778
St. Lamia,Light,Conqueror of the Heavens,12,11,2400,200
St. Lamia,Dark,A Putrid Abyss,9,8,1280,142.2222222
St. Lamia,Dark,Vagabond of the Monster's Den,9,8,1460,162.2222222
St. Lamia,Dark,Dwelling of the Souls,9,9,1850,205.5555556
St. Lamia,Dark,The Midnight Aristocrat,9,9,2100,233.3333333
St. Lamia,Dark,The Death-beckoning Devo;,12,11,2440,203.3333333
St. Lamia,Final,To the Abominable Castle,9,10,1600,177.7777778
St. Lamia,Final,The Gates of Hell,9,10,2000,222.2222222
St. Lamia,Final,The Phony Paradise,9,11,2300,255.5555556
St. Lamia,Final,Saint and Devil,10,11,2500,250
St. Lamia,Final,The Fourfold Pillar,10,11,2600,260
St. Lamia,Final,Creator of the World,14,12,3000,214.2857143
Cordelica,Fire,Inferno Gate,7,7,450,64.28571429
Cordelica,Fire,Cave-Dwelling Assassins,7,7,550,78.57142857
Cordelica,Fire,Hot Gale's Caress,8,8,850,106.25
Cordelica,Fire,Before the Flame Princess,10,9,1000,100
Cordelica,Water,The Foot of the Rainbow,7,7,470,67.14285714
Cordelica,Water,Behind the Warefall,8,8,700,87.5
Cordelica,Water,An Invisible Presence,8,8,900,112.5
Cordelica,Water,The Battleaxe Descends,10,9,1100,110
Cordelica,Earth,Entering the Foliage,9,8,1300,144.4444444
Cordelica,Earth,Labyrinth of Trees,9,8,1410,156.6666667
Cordelica,Earth,The Bandits' Trap,10,9,1800,180
Cordelica,Earth,The Roaring Warrior,10,9,1920,192
Cordelica,Earth,Master of Lomass,14,11,2100,150
Cordelica,Thunder,The Moonlit Fortress,9,8,1330,147.7777778
Cordelica,Thunder,Rushing the Enemy,9,8,1450,161.1111111
Cordelica,Thunder,Assault from Above,10,9,1890,189
Cordelica,Thunder,Cold-Hearted Sentries,10,9,2030,203
Cordelica,Thunder,A Peaceful Courtyard,14,11,2300,164.2857143
Cordelica,Light,The Shining Tower,10,10,2000,200
Cordelica,Light,A Roar from the Darkness,10,10,2120,212
Cordelica,Light,Deadly Melody,10,10,2180,218
Cordelica,Light,Phoenix and the Sea Monster,12,10,2450,204.1666667
Cordelica,Light,Dance of the Knight,12,10,2580,215
Cordelica,Light,Howls and Gunshots,12,10,2630,219.1666667
Cordelica,Light,The Voice of God,15,10,3100,206.6666667
Cordelica,Dark,Into the Darkness,10,10,2060,206
Cordelica,Dark,Protector of Nature,10,10,2160,216
Cordelica,Dark,Howls in the Void,10,10,2240,224
Cordelica,Dark,Where Lightning Strikes,12,10,2530,210.8333333
Cordelica,Dark,Unifier of Demons,12,10,2681,223.4166667
Cordelica,Dark,Hunter of Death,12,10,2750,229.1666667
Cordelica,Dark,Rondo of Nightmares,15,10,3300,220
Cordelica,Final,The Wandering the Ruins,12,10,2700,225
Cordelica,Final,Last Light of the Ruins,12,10,2700,225
Cordelica,Final,Beneath Ebony Wings,12,10,2700,225
Cordelica,Final,A Guiding Star,12,10,2700,225
Cordelica,Final,The Spoiled Fesco,12,10,2700,225
Cordelica,Final,The Meaning of Irate Souls,12,10,2700,225
Cordelica,Final,Rampage of the Giants,14,10,3200,228.5714286
Cordelica,Final,The Giant God Awakes,16,11,3800,237.5
Cordelica,Bonus,The Amorphus Being,25,5,2000,80
Dungeon,Monday,Sacred Land of the Souls Lv. 1,13,6,300,23.07692308
Dungeon,Monday,Sacred Land of the Souls Lv. 2,20,8,1500,75
Dungeon,Monday,Sacred Land of the Souls Lv. 3,25,8,2500,100
Dungeon,Tuesday,Garden of Nymphs,10,5,200,20
Dungeon,Tuesday,Garden of Spirits,20,5,1300,65
Dungeon,Tuesday,Garden of Idols,25,5,3000,120
Dungeon,Tuesday,Phantom Pots,25,5,3000,120
Dungeon,Wednesday,The Cave of Desires Lv. 1,10,5,500,50
Dungeon,Wednesday,The Cave of Desires Lv. 2,20,6,2800,140
Dungeon,Wednesday,The Cave of Desires Lv. 3,25,6,3500,140
Dungeon,Thursday,Ruins of Fire Lv. 3,30,8,4000,133.3333333
Dungeon,Thursday,Ruins of Water Lv. 3,30,8,4000,133.3333333
Dungeon,Thursday,Ruins of Earth Lv. 3,30,8,4000,133.3333333
Dungeon,Thursday,Ruins of Thunder Lv. 3,30,8,4000,133.3333333
Dungeon,Thursday,Ruins of Miracles Lv. 4,50,5,5000,100
Dungeon,Friday,The Wandering Spirit Lv. 1,10,7,500,50
Dungeon,Friday,The Wandering Spirit Lv. 2,20,10,1600,80
Dungeon,Friday,The Wandering Spirit Lv. 3,25,10,4100,164
Dungeon,Friday,The Wandering Spirit Lv. 4,30,10,4500,150
Dungeon,Weekends,Gold Valley Lv. 1,10,5,300,30
Dungeon,Weekends,Gold Valley Lv. 2,20,5,1700,85
Dungeon,Weekends,Gold Valley Lv. 3,30,5,4200,140
